(17.82, 8.52, 4.72, 1.75, 0.74)
(6.45, 4.93, 2.84, 1.26, 0.64)
(6.36, 12.17, 2.19, 1.07, 0.91)
(16.8, 17.75, 2.91, 0.55, 1.07)
(10.36, 11.43, 2.0, 1.95, 0.88)
(10.89, 0.75, 4.62, 0.97, 0.64)
(1.43, 13.14, 0.4, 0.58, 0.6)
(19.19, 3.05, 1.67, 0.56, 0.57)
(5.89, 16.59, 1.95, 1.32, 0.66)
(13.59, 15.37, 0.1, 0.89, 0.8)
(0.92, 11.12, 5.18, 1.12, 1.86)
(2.09, 3.29, 3.02, 1.84, 1.64)
(1.45, 17.09, 1.86, 1.44, 0.55)
(19.23, 18.9, 1.3, 0.6, 0.78)
(19.3, 12.45, 6.15, 0.53, 0.82)
(8.84, 6.29, 4.76, 0.62, 1.02)
(12.88, 9.91, 4.83, 0.86, 1.22)
(16.84, 5.55, 0.41, 0.56, 0.56)
(16.12, 11.34, 1.3, 0.58, 0.73)
(15.7, 16.84, 6.05, 0.82, 0.7)
